"Geo Level","State","State ANSI","Measure","Bearing_type","Domain","size_bracket","Value","CV (%)"
"STATE","MASSACHUSETTS","25","ACRES","NON-BEARING","TOTAL","TOTAL","45","29.6"
"STATE","MASSACHUSETTS","25","OPERATIONS","AREA BEARING","TOTAL","TOTAL","233","12.6"
"STATE","MASSACHUSETTS","25","OPERATIONS","AREA GROWN","TOTAL","TOTAL","249","9.6"
"STATE","MASSACHUSETTS","25","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","70","20.0"
"STATE","MICHIGAN","26","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","(D)","(D)"
"STATE","MICHIGAN","26","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","164","10.4"
"STATE","MICHIGAN","26","ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","(D)","(D)"
"STATE","MICHIGAN","26","ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","88","67.2"
"STATE","MICHIGAN","26","ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","324","12.5"
"STATE","MICHIGAN","26","ACRES","BEARING","TOTAL","TOTAL","714","28.0"
"STATE","MICHIGAN","26","ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","59","10.1"
"STATE","MICHIGAN","26","ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","195","8.7"
"STATE","MICHIGAN","26","ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","92","(H)"
"STATE","MICHIGAN","26","ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","115","61.9"
"STATE","MICHIGAN","26","ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","415","11.6"
"STATE","MICHIGAN","26","ACRES","GROWN","TOTAL","TOTAL","875","25.3"
"STATE","MICHIGAN","26","ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","(D)","(D)"
"STATE","MICHIGAN","26","ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","31","19.3"
"STATE","MICHIGAN","26","ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","(D)","(D)"
"STATE","MICHIGAN","26","ACRES","NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","27","44.4"
"STATE","MICHIGAN","26","ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","91","11.8"
"STATE","MICHIGAN","26","ACRES","NON-BEARING","TOTAL","TOTAL","162","15.7"
"STATE","MICHIGAN","26","OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","266","12.0"
"STATE","MICHIGAN","26","OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","93","18.8"
"STATE","MICHIGAN","26","OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","5","(H)"
"STATE","MICHIGAN","26","OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","4","71.2"
"STATE","MICHIGAN","26","OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","52","11.7"
"STATE","MICHIGAN","26","OPERATIONS","AREA BEARING","TOTAL","TOTAL","420","13.0"
"STATE","MICHIGAN","26","OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","305","11.2"
"STATE","MICHIGAN","26","OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","96","17.0"
"STATE","MICHIGAN","26","OPERATIONS","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","5","(H)"
"STATE","MICHIGAN","26","OPERATIONS","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","4","71.2"
"STATE","MICHIGAN","26","OPERATIONS","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","52","11.7"
"STATE","MICHIGAN","26","OPERATIONS","AREA GROWN","TOTAL","TOTAL","462","12.2"
"STATE","MICHIGAN","26","OPERATIONS","AREA NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","55","37.1"
"STATE","MICHIGAN","26","OPERATIONS","AREA NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","43","11.5"
"STATE","MICHIGAN","26","OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","1","(H)"
"STATE","MICHIGAN","26","OPERATIONS","AREA NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","4","71.2"
"STATE","MICHIGAN","26","OPERATIONS","AREA NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","33","10.8"
"STATE","MICHIGAN","26","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","136","20.3"
"STATE","MINNESOTA","27","ACRES","BEARING","TOTAL","TOTAL","308","13.7"
"STATE","MINNESOTA","27","ACRES","GROWN","TOTAL","TOTAL","401","14.8"
"STATE","MINNESOTA","27","ACRES","NON-BEARING","TOTAL","TOTAL","93","30.2"
"STATE","MINNESOTA","27","OPERATIONS","AREA BEARING","TOTAL","TOTAL","184","14.2"
"STATE","MINNESOTA","27","OPERATIONS","AREA GROWN","TOTAL","TOTAL","218","13.2"
"STATE","MINNESOTA","27","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","85","11.0"
"STATE","MISSISSIPPI","28","ACRES","BEARING","TOTAL","TOTAL","(D)","(D)"
"STATE","MISSISSIPPI","28","ACRES","GROWN","TOTAL","TOTAL","46","24.4"
"STATE","MISSISSIPPI","28","ACRES","NON-BEARING","TOTAL","TOTAL","(D)","(D)"
"STATE","MISSISSIPPI","28","OPERATIONS","AREA BEARING","TOTAL","TOTAL","24","89.2"
"STATE","MISSISSIPPI","28","OPERATIONS","AREA GROWN","TOTAL","TOTAL","31","65.3"
"STATE","MISSISSIPPI","28","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","8","74.1"
"STATE","MISSOURI","29","ACRES","BEARING","TOTAL","TOTAL","76","18.8"
"STATE","MISSOURI","29","ACRES","GROWN","TOTAL","TOTAL","85","17.2"
"STATE","MISSOURI","29","ACRES","NON-BEARING","TOTAL","TOTAL","10","10.8"
"STATE","MISSOURI","29","OPERATIONS","AREA BEARING","TOTAL","TOTAL","189","8.0"
"STATE","MISSOURI","29","OPERATIONS","AREA GROWN","TOTAL","TOTAL","218","8.7"
"STATE","MISSOURI","29","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","51","10.0"
"STATE","MONTANA","30","ACRES","BEARING","TOTAL","TOTAL","8","49.6"
"STATE","MONTANA","30","ACRES","GROWN","TOTAL","TOTAL","9","43.0"
"STATE","MONTANA","30","ACRES","NON-BEARING","TOTAL","TOTAL","1","26.8"
"STATE","MONTANA","30","OPERATIONS","AREA BEARING","TOTAL","TOTAL","35","21.3"
"STATE","MONTANA","30","OPERATIONS","AREA GROWN","TOTAL","TOTAL","38","19.0"
"STATE","MONTANA","30","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","7","38.3"
"STATE","NEBRASKA","31","ACRES","BEARING","TOTAL","TOTAL","(D)","(D)"
"STATE","NEBRASKA","31","ACRES","GROWN","TOTAL","TOTAL","18","25.7"
"STATE","NEBRASKA","31","ACRES","NON-BEARING","TOTAL","TOTAL","(D)","(D)"
"STATE","NEBRASKA","31","OPERATIONS","AREA BEARING","TOTAL","TOTAL","48","47.4"
"STATE","NEBRASKA","31","OPERATIONS","AREA GROWN","TOTAL","TOTAL","48","47.4"
"STATE","NEBRASKA","31","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","5","78.2"
"STATE","NEVADA","32","ACRES","BEARING","TOTAL","TOTAL","1","16.3"
"STATE","NEVADA","32","ACRES","GROWN","TOTAL","TOTAL","1","16.3"
"STATE","NEVADA","32","OPERATIONS","AREA BEARING","TOTAL","TOTAL","9","23.6"
"STATE","NEVADA","32","OPERATIONS","AREA GROWN","TOTAL","TOTAL","9","23.6"
"STATE","NEW HAMPSHIRE","33","ACRES","BEARING","TOTAL","TOTAL","112","25.1"
"STATE","NEW HAMPSHIRE","33","ACRES","GROWN","TOTAL","TOTAL","134","24.7"
"STATE","NEW HAMPSHIRE","33","ACRES","NON-BEARING","TOTAL","TOTAL","22","24.6"
"STATE","NEW HAMPSHIRE","33","OPERATIONS","AREA BEARING","TOTAL","TOTAL","81","26.5"
"STATE","NEW HAMPSHIRE","33","OPERATIONS","AREA GROWN","TOTAL","TOTAL","102","23.4"
"STATE","NEW HAMPSHIRE","33","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","36","21.7"
"STATE","NEW JERSEY","34","ACRES","BEARING","TOTAL","TOTAL","233","7.2"
"STATE","NEW JERSEY","34","ACRES","GROWN","TOTAL","TOTAL","257","7.2"
"STATE","NEW JERSEY","34","ACRES","NON-BEARING","TOTAL","TOTAL","24","35.7"
"STATE","NEW JERSEY","34","OPERATIONS","AREA BEARING","TOTAL","TOTAL","137","6.3"
"STATE","NEW JERSEY","34","OPERATIONS","AREA GROWN","TOTAL","TOTAL","146","6.8"
"STATE","NEW JERSEY","34","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","33","12.5"
"STATE","NEW MEXICO","35","ACRES","BEARING","TOTAL","TOTAL","2","38.1"
"STATE","NEW MEXICO","35","ACRES","GROWN","TOTAL","TOTAL","7","19.4"
"STATE","NEW MEXICO","35","ACRES","NON-BEARING","TOTAL","TOTAL","5","19.3"
"STATE","NEW MEXICO","35","OPERATIONS","AREA BEARING","TOTAL","TOTAL","18","47.7"
"STATE","NEW MEXICO","35","OPERATIONS","AREA GROWN","TOTAL","TOTAL","32","32.9"
"STATE","NEW MEXICO","35","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","14","40.1"
"STATE","NEW YORK","36","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","(D)","(D)"
"STATE","NEW YORK","36","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","267","8.0"
"STATE","NEW YORK","36","ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","140","59.5"
"STATE","NEW YORK","36","ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","(D)","(D)"
"STATE","NEW YORK","36","ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","263","10.7"
"STATE","NEW YORK","36","ACRES","BEARING","TOTAL","TOTAL","751","14.3"
"STATE","NEW YORK","36","ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","(D)","(D)"
"STATE","NEW YORK","36","ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","306","8.6"
"STATE","NEW YORK","36","ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","182","50.2"
"STATE","NEW YORK","36","ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","(D)","(D)"
"STATE","NEW YORK","36","ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","328","11.1"
"STATE","NEW YORK","36","ACRES","GROWN","TOTAL","TOTAL","913","14.4"
"STATE","NEW YORK","36","ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","15","14.4"
"STATE","NEW YORK","36","ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","40","16.3"
"STATE","NEW YORK","36","ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","42","31.2"
"STATE","NEW YORK","36","ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","66","22.7"
"STATE","NEW YORK","36","ACRES","NON-BEARING","TOTAL","TOTAL","162","16.9"
"STATE","NEW YORK","36","OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","241","6.0"
"STATE","NEW YORK","36","OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","146","7.1"
"STATE","NEW YORK","36","OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","10","51.1"
"STATE","NEW YORK","36","OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","1","(L)"
"STATE","NEW YORK","36","OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","41","14.1"
"STATE","NEW YORK","36","OPERATIONS","AREA BEARING","TOTAL","TOTAL","439","6.4"
"STATE","NEW YORK","36","OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","277","7.2"
"STATE","NEW YORK","36","OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","146","7.1"
"STATE","NEW YORK","36","OPERATIONS","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","10","51.1"
"STATE","NEW YORK","36","OPERATIONS","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","1","(L)"
"STATE","NEW YORK","36","OPERATIONS","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","41","14.1"
"STATE","NEW YORK","36","OPERATIONS","AREA GROWN","TOTAL","TOTAL","475","5.8"
"STATE","NEW YORK","36","OPERATIONS","AREA NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","74","11.7"
"STATE","NEW YORK","36","OPERATIONS","AREA NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","54","11.0"
"STATE","NEW YORK","36","OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","6","27.4"
"STATE","NEW YORK","36","OPERATIONS","AREA NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","27","18.9"
"STATE","NEW YORK","36","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","161","6.1"
"STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","39","56.5"
"STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","221","26.7"
"STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(100 OR MORE ACRES)","(D)","(D)"
"STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","(D)","(D)"
"STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","(D)","(D)"
"STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","161","32.2"
"STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","(D)","(D)"
"STATE","NORTH CAROLINA","37","ACRES","BEARING","TOTAL","TOTAL","1,012","17.4"
"STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","(D)","(D)"
"STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","234","25.1"
"STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(100 OR MORE ACRES)","385","(L)"
"STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","118","(H)"
"STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","(D)","(D)"
"STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","174","34.4"
"STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)","(D)","(D)"
"STATE","NORTH CAROLINA","37","ACRES","GROWN","TOTAL","TOTAL","1,073","16.9"
"STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","(D)","(D)"
"STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","13","36.6"
"STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","AREA GROWN","(100 OR MORE ACRES)","(D)","(D)"
"STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","(D)","(D)"
"STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","(D)","(D)"
"STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","13","94.7"
"STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","TOTAL","TOTAL","61","18.6"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","165","51.5"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","116","28.0"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(100 OR MORE ACRES)","3","(L)"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","6","(H)"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","1","(L)"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","30","33.9"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","1","(L)"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","TOTAL","TOTAL","322","31.4"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","180","52.5"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","119","26.9"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)","3","(L)"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","6","(H)"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","1","(L)"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","30","33.9"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)","1","(L)"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","TOTAL","TOTAL","340","32.7"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","41","54.3"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","11","60.4"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","AREA GROWN","(100 OR MORE ACRES)","1","(L)"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","1","(L)"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","1","(L)"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","5","78.2"
"STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","60","49.2"
"STATE","NORTH DAKOTA","38","ACRES","BEARING","TOTAL","TOTAL","(D)","(D)"
"STATE","NORTH DAKOTA","38","ACRES","GROWN","TOTAL","TOTAL","1","11.2"
"STATE","NORTH DAKOTA","38","ACRES","NON-BEARING","TOTAL","TOTAL","(D)","(D)"
"STATE","NORTH DAKOTA","38","OPERATIONS","AREA BEARING","TOTAL","TOTAL","8","16.8"
"STATE","NORTH DAKOTA","38","OPERATIONS","AREA GROWN","TOTAL","TOTAL","9","14.9"
"STATE","NORTH DAKOTA","38","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","2","(L)"
"STATE","OHIO","39","ACRES","BEARING","TOTAL","TOTAL","445","16.6"
"STATE","OHIO","39","ACRES","GROWN","TOTAL","TOTAL","511","14.0"
"STATE","OHIO","39","ACRES","NON-BEARING","TOTAL","TOTAL","66","13.9"
"STATE","OHIO","39","OPERATIONS","AREA BEARING","TOTAL","TOTAL","361","5.4"
"STATE","OHIO","39","OPERATIONS","AREA GROWN","TOTAL","TOTAL","393","6.2"
"STATE","OHIO","39","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","87","10.5"
"STATE","OKLAHOMA","40","ACRES","BEARING","TOTAL","TOTAL","15","52.1"
"STATE","OKLAHOMA","40","ACRES","GROWN","TOTAL","TOTAL","21","36.2"
"STATE","OKLAHOMA","40","ACRES","NON-BEARING","TOTAL","TOTAL","6","33.4"
"STATE","OKLAHOMA","40","OPERATIONS","AREA BEARING","TOTAL","TOTAL","51","15.2"
"STATE","OKLAHOMA","40","OPERATIONS","AREA GROWN","TOTAL","TOTAL","66","18.1"
"STATE","OKLAHOMA","40","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","19","64.1"
"STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","(D)","(D)"
"STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","106","23.0"
"STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(100 OR MORE ACRES)","(D)","(D)"
"STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","115","39.2"
"STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","468","26.4"
"STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","145","13.9"
"STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","(D)","(D)"
"STATE","OREGON","41","ACRES","BEARING","TOTAL","TOTAL","1,664","19.6"
"STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","36","23.0"
"STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","122","21.1"
"STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(100 OR MORE ACRES)","681","60.7"
"STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","154","40.5"
"STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","494","27.9"
"STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","154","14.3"
"STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)","212","(L)"
"STATE","OREGON","41","ACRES","GROWN","TOTAL","TOTAL","1,853","17.4"
"STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","(D)","(D)"
"STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","16","26.9"
"STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(100 OR MORE ACRES)","(D)","(D)"
"STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","39","44.7"
"STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","26","58.4"
"STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","9","40.0"
"STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","(D)","(D)"
"STATE","OREGON","41","ACRES","NON-BEARING","TOTAL","TOTAL","188","15.2"
"STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","189","7.3"
"STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","55","24.3"
"STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(100 OR MORE ACRES)","3","77.5"
"STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","9","39.4"
"STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","16","31.4"
"STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","19","16.6"
"STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","3","(L)"
"STATE","OREGON","41","OPERATIONS","AREA BEARING","TOTAL","TOTAL","294","6.7"
"STATE","OREGON","41","OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","206","12.9"
"STATE","OREGON","41","OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","57","23.2"
"STATE","OREGON","41","OPERATIONS","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)","3","77.5"
"STATE","OREGON","41","OPERATIONS","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","9","39.4"
"STATE","OREGON","41","OPERATIONS","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","16","31.4"
"STATE","OREGON","41","OPERATIONS","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","19","16.6"
"STATE","OREGON","41","OPERATIONS","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)","3","(L)"
"STATE","OREGON","41","OPERATIONS","AREA GROWN","TOTAL","TOTAL","313","7.3"
"STATE","OREGON","41","OPERATIONS","AREA NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","21","84.2"
"STATE","OREGON","41","OPERATIONS","AREA NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","14","33.9"
"STATE","OREGON","41","OPERATIONS","AREA NON-BEARING","AREA GROWN","(100 OR MORE ACRES)","1","(L)"
"STATE","OREGON","41","OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","7","50.7"
"STATE","OREGON","41","OPERATIONS","AREA NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","4","75.0"
"STATE","OREGON","41","OPERATIONS","AREA NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","6","22.4"
"STATE","OREGON","41","OPERATIONS","AREA NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","1","(L)"
"STATE","OREGON","41","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","54","30.7"
"STATE","PENNSYLVANIA","42","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","112","16.4"
"STATE","PENNSYLVANIA","42","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","293","14.5"
"STATE","PENNSYLVANIA","42","ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","115","38.9"
"STATE","PENNSYLVANIA","42","ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","144","35.2"
"STATE","PENNSYLVANIA","42","ACRES","BEARING","TOTAL","TOTAL","663","10.7"
"STATE","PENNSYLVANIA","42","ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","128","14.2"
"STATE","PENNSYLVANIA","42","ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","329","13.6"
"STATE","PENNSYLVANIA","42","ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","135","34.7"
"STATE","PENNSYLVANIA","42","ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","163","35.2"
